3433 Binding energies from the Atomic Mass Evaluation of 2016
# Electronic correction:  Be(Z) = 1.44381E-5*Z**2.39 + 1.55468E-12*Z**5.35 MeV            
# Num Nuc  A   N   Z        E        E/A     dE     Eval    S1n     dS1n  Eval    S1p     dS1p  Eval    S2n     dS2n  Eval    S2p     dS2p  Eval
   72  N  13   6   7   -94.103708 -7.238747 0.000273  0 20.063911 0.001269  0  1.943025 0.000273  0 35.100713 0.046429  0 17.899332 0.000284  0
   73  N  14   7   7  -104.657085 -7.475506 0.000001  0 10.553377 0.000273  0  7.550093 0.000001  0 30.617288 0.000996  0 25.083085 0.001320  0
   74  N  15   8   7  -115.490389 -7.699359 0.000001  0 10.833304 0.000001  0 10.206968 0.000001  0 21.386681 0.000273  0 31.037618 0.001001  0
   75  N  16   9   7  -117.979225 -7.373702 0.002304  0  2.488836 0.002304  0 11.477735 0.003099  0 13.322140 0.002304  0 32.556885 0.023514  0
   76  N  17  10   7  -123.864382 -7.286140 0.014994  0  5.885157 0.017298  0 13.112563 0.018578  0  8.373993 0.014994  0 35.665283 0.036024  0
   77  N  18  11   7  -126.692605 -7.038478 0.018576  0  2.828223 0.033570  0 15.207242 0.035933  0  8.713380 0.020880  0 38.576449 0.043152  0
   78  N  19  12   7  -132.020806 -6.948463 0.016397  0  5.328201 0.034973  0 16.351493 0.046403  0  8.156424 0.031391  0 42.437143 0.220499  0
   79  N  20  13   7  -134.181909 -6.709095 0.078900  0  2.161103 0.095297  0 17.935767 0.177282  0  7.489304 0.097476  0 44.603245 0.283056  0
   80  N  21  14   7  -138.787804 -6.608943 0.134043  0  4.605895 0.212943  0 19.560149 0.364663  0  6.766998 0.150440  0 49.115434 0.659412  0
   81  N  22  15   7  -140.326237 -6.378465 0.207790  0  1.538433 0.341833  0 21.173282 0.795790  1  6.144328 0.286690  0 51.266913 1.007790  1
   82  N  23  16   7  -143.441922 -6.236605 0.420578  0  3.115685 0.628368  0 24.179273 0.652062  0  4.654118 0.554621  0 55.179598 1.323578  1
   83  N  24  17   7  -141.286489 -5.886937 0.408000  1 -2.155433 0.828578  1 24.516534 1.397000  2  0.960252 0.615790  1  0.000001 0.000001  0
   84  N  25  18   7  -140.323489 -5.612940 0.500000  1 -0.963000 0.908000  2  0.000001 0.000001  0 -3.118433 0.920578  1  0.000001 0.000001  0
   85  O  12   4   8   -58.680345 -4.890029 0.024000  0  0.000001 0.000001  0 -0.322650 0.070156  0  0.000001 0.000001  0 -1.639030 0.024070  0
   86  O  13   5   8   -75.550840 -5.811603 0.009529  0 16.870495 0.033529  0  1.511043 0.010525  0  0.000001 0.000001  0  2.110869 0.009584  0
   87  O  14   6   8   -98.729813 -7.052129 0.000028  0 23.178973 0.009557  0  4.626105 0.000301  0 40.049468 0.024028  0  6.569130 0.000028  0
   88  O  15   7   8  -111.953301 -7.463553 0.000495  0 13.223488 0.000523  0  7.296216 0.000495  0 36.402461 0.010024  0 14.846309 0.000495  0
   89  O  16   8   8  -127.617217 -7.976076 0.000001  0 15.663916 0.000495  0 12.126828 0.000001  0 28.887404 0.000028  0 22.333796 0.000001  0
   90  O  17   9   8  -131.760297 -7.750606 0.000001  0  4.143080 0.000001  0 13.781072 0.002304  0 19.806996 0.000495  0 25.258807 0.000795  0
   91  O  18  10   8  -139.805667 -7.766981 0.000001  0  8.045370 0.000001  0 15.941285 0.014994  0 12.188450 0.000001  0 29.053848 0.003584  0
   92  O  19  11   8  -143.761326 -7.566386 0.002641  0  3.955659 0.002641  0 17.068721 0.021217  0 12.001029 0.002641  0 32.275963 0.019998  0
   93  O  20  12   8  -151.369321 -7.568466 0.000880  0  7.607995 0.003521  0 19.348515 0.017277  0 11.563654 0.000880  0 35.700008 0.030886  0
   94  O  21  13   8  -155.174775 -7.389275 0.011991  0  3.805454 0.012871  0 20.992866 0.090891  0 11.413449 0.014632  0 38.928633 0.110373  0
   95  O  22  14   8  -162.025083 -7.364776 0.056914  0  6.850308 0.068905  0 23.237279 0.190957  0 10.655762 0.057794  0 42.797428 0.287534  0
   96  O  23  15   8  -164.758076 -7.163395 0.121716  0  2.732993 0.178630  0 24.431839 0.329506  0  9.583301 0.133707  0 45.605121 0.709716  1
   97  O  24  16   8  -168.950361 -7.039598 0.164880  0  4.192285 0.286596  0 25.508439 0.585458  0  6.925278 0.221794  0 49.687712 0.396364  0
   98  O  25  17   8  -168.193046 -6.727722 0.165075  0 -0.757315 0.329955  0 26.906557 0.573075  1  3.434970 0.286791  0 51.423091 1.154075  1
   99  O  26  18   8  -168.932349 -6.497398 0.164944  0  0.739303 0.330019  0 28.608860 0.664944  1 -0.018012 0.329824  0  0.000001 0.000001  0
  100  O  27  19   8  -166.992921 -6.184923 0.513000  1 -1.939428 0.677944  1  0.000001 0.000001  0 -1.200125 0.678075  1  0.000001 0.000001  0
  101  O  28  20   8  -167.661921 -5.987926 0.700000  1  0.669000 1.213000  2  0.000001 0.000001  0 -1.270428 0.864944  1  0.000001 0.000001  0
  102  F  14   5   9   -73.990157 -5.285011 0.041118  0  0.000001 0.000001  0 -1.560683 0.050647  0  0.000001 0.000001  0 -0.049640 0.042114  0
  103  F  15   6   9   -97.459130 -6.497275 0.013995  0 23.468973 0.055113  0 -1.270683 0.014023  0  0.000001 0.000001  0  3.355422 0.014268  0
  104  F  16   7   9  -111.416941 -6.963559 0.008320  0 13.957811 0.022315  0 -0.536360 0.008815  0 37.426784 0.049438  0  6.759856 0.008320  0
  105  F  17   8   9  -128.216821 -7.542166 0.000255  0 16.799880 0.008575  0  0.599604 0.000255  0 30.757691 0.014250  0 12.726432 0.000255  0
  106  F  18   9   9  -137.366729 -7.631485 0.000468  0  9.149908 0.000723  0  5.606432 0.000468  0 25.949788 0.008788  0 19.387504 0.002772  0
  107  F  19  10   9  -147.798587 -7.778873 0.000001  0 10.431858 0.000468  0  7.992920 0.000001  0 19.581766 0.000255  0 23.934205 0.014994  0
  108  F  20  11   9  -154.399925 -7.719996 0.000040  0  6.601338 0.000040  0 10.638599 0.002681  0 17.033196 0.000508  0 27.707320 0.018616  0
  109  F  21  12   9  -162.501398 -7.738162 0.001806  0  8.101473 0.001846  0 11.132077 0.002686  0 14.702811 0.001806  0 30.480592 0.018203  0
  110  F  22  13   9  -167.731735 -7.624170 0.012408  0  5.230337 0.014214  0 12.556960 0.024399  0 13.331810 0.012448  0 33.549826 0.091308  0
  111  F  23  14   9  -175.311157 -7.622224 0.033327  0  7.579422 0.045735  0 13.286074 0.090241  0 12.809759 0.035133  0 36.523353 0.167370  0
